Field.of.study,Field.of.study.parent
"Germanic languages, literatures and linguistics [16.05]","Aboriginal and foreign languages, literatures and linguistics [16]"
Modern Greek language and literature [16.06],"Aboriginal and foreign languages, literatures and linguistics [16]"
"Romance languages, literatures and linguistics [16.09]","Aboriginal and foreign languages, literatures and linguistics [16]"
"Classics and classical languages, literatures and linguistics [16.12]","Aboriginal and foreign languages, literatures and linguistics [16]"
"Celtic languages, literatures and linguistics [16.13]","Aboriginal and foreign languages, literatures and linguistics [16]"
Second language learning [16.17],"Aboriginal and foreign languages, literatures and linguistics [16]"
"Aboriginal and foreign languages, literatures and linguistics, other [16.99]","Aboriginal and foreign languages, literatures and linguistics [16]"
Family and consumer sciences/human sciences [19],Family and consumer sciences/human sciences [19]
"Family and consumer sciences/human sciences, general [19.01]",Family and consumer sciences/human sciences [19]
Family and consumer sciences/human sciences business services [19.02],Family and consumer sciences/human sciences [19]
"Foods, nutrition and related services [19.05]",Family and consumer sciences/human sciences [19]
"Human development, family studies and related services [19.07]",Family and consumer sciences/human sciences [19]
Apparel and textiles [19.09],Family and consumer sciences/human sciences [19]
"Family and consumer sciences/human sciences, other [19.99]",Family and consumer sciences/human sciences [19]
Legal professions and studies [22],Legal professions and studies [22]
Non-professional general legal studies (undergraduate) [22.00],Legal professions and studies [22]
"Law (LLB, JD, BCL) [22.01]",Legal professions and studies [22]
Legal research and advanced professional studies (post-LLB/JD) [22.02],Legal professions and studies [22]
Legal support services [22.03],Legal professions and studies [22]
"Legal professions and studies, other [22.99]",Legal professions and studies [22]
English language and literature/letters [23],English language and literature/letters [23]
"English language and literature, general [23.01]",English language and literature/letters [23]
English rhetoric and composition/writing studies [23.13],English language and literature/letters [23]
English literature [23.14],English language and literature/letters [23]
"English language and literature/letters, other [23.99]",English language and literature/letters [23]
"Liberal arts and sciences, general studies and humanities [24]","Liberal arts and sciences, general studies and humanities [24]"
"Liberal arts and sciences, general studies and humanities [24.01]","Liberal arts and sciences, general studies and humanities [24]"
Library science [25],Library science [25]
Library science and administration [25.01],Library science [25]
Biological and biomedical sciences [26],Biological and biomedical sciences [26]
"Biology, general [26.01]",Biological and biomedical sciences [26]
Biochemistry/biophysics and molecular biology [26.02],Biological and biomedical sciences [26]
Botany/plant biology [26.03],Biological and biomedical sciences [26]
Cell/cellular biology and anatomical sciences [26.04],Biological and biomedical sciences [26]
Microbiological sciences and immunology [26.05],Biological and biomedical sciences [26]
Zoology/animal biology [26.07],Biological and biomedical sciences [26]
Genetics [26.08],Biological and biomedical sciences [26]
"Physiology, pathology and related sciences [26.09]",Biological and biomedical sciences [26]
Pharmacology and toxicology [26.10],Biological and biomedical sciences [26]
"Biomathematics, bioinformatics, and computational biology [26.11]",Biological and biomedical sciences [26]
Biotechnology [26.12],Biological and biomedical sciences [26]
"Ecology, evolution, systematics and population biology [26.13]",Biological and biomedical sciences [26]
Neurobiology and neurosciences [26.15],Biological and biomedical sciences [26]
"Biological and biomedical sciences, other [26.99]",Biological and biomedical sciences [26]
Mathematics and statistics [27],Mathematics and statistics [27]
Mathematics [27.01],Mathematics and statistics [27]
Applied mathematics [27.03],Mathematics and statistics [27]
Statistics [27.05],Mathematics and statistics [27]
"Military science, leadership and operational art [28]","Military science, leadership and operational art [28]"
"Military science, leadership and operational art [28.08]","Military science, leadership and operational art [28]"
Multidisciplinary/interdisciplinary studies [30],Multidisciplinary/interdisciplinary studies [30]
Biological and physical sciences [30.01],Multidisciplinary/interdisciplinary studies [30]
Peace studies and conflict resolution [30.05],Multidisciplinary/interdisciplinary studies [30]
Systems science and theory [30.06],Multidisciplinary/interdisciplinary studies [30]
Mathematics and computer science [30.08],Multidisciplinary/interdisciplinary studies [30]
Biopsychology [30.10],Multidisciplinary/interdisciplinary studies [30]
Gerontology [30.11],Multidisciplinary/interdisciplinary studies [30]
Medieval and renaissance studies [30.13],Multidisciplinary/interdisciplinary studies [30]
Museology/museum studies [30.14],Multidisciplinary/interdisciplinary studies [30]
"Science, technology and society [30.15]",Multidisciplinary/interdisciplinary studies [30]
Behavioural sciences [30.17],Multidisciplinary/interdisciplinary studies [30]
Natural sciences [30.18],Multidisciplinary/interdisciplinary studies [30]
Nutrition sciences [30.19],Multidisciplinary/interdisciplinary studies [30]
International/global studies [30.20],Multidisciplinary/interdisciplinary studies [30]
Classical and ancient studies [30.22],Multidisciplinary/interdisciplinary studies [30]
Intercultural/multicultural and diversity studies [30.23],Multidisciplinary/interdisciplinary studies [30]
Cognitive science [30.25],Multidisciplinary/interdisciplinary studies [30]
Cultural studies/critical theory and analysis [30.26],Multidisciplinary/interdisciplinary studies [30]
Dispute resolution [30.28],Multidisciplinary/interdisciplinary studies [30]
Maritime studies [30.29],Multidisciplinary/interdisciplinary studies [30]
Human computer interaction [30.31],Multidisciplinary/interdisciplinary studies [30]
Sustainability studies [30.33],Multidisciplinary/interdisciplinary studies [30]
