program.code.first,program.code.full,Field.of.study,Field.of.study.parent
"Total, field of study","Total, field of study","Total, field of study","Total, field of study"
16,16.01,"Linguistic, comparative and related language studies and services [16.01]","Aboriginal and foreign languages, literatures and linguistics [16]"
16,16.03,"East Asian languages, literatures and linguistics [16.03]","Aboriginal and foreign languages, literatures and linguistics [16]"
16,16.04,"Slavic, Baltic and Albanian languages, literatures and linguistics [16.04]","Aboriginal and foreign languages, literatures and linguistics [16]"
16,16.05,"Germanic languages, literatures and linguistics [16.05]","Aboriginal and foreign languages, literatures and linguistics [16]"
16,16.06,Modern Greek language and literature [16.06],"Aboriginal and foreign languages, literatures and linguistics [16]"
16,16.09,"Romance languages, literatures and linguistics [16.09]","Aboriginal and foreign languages, literatures and linguistics [16]"
16,16.12,"Classics and classical languages, literatures and linguistics [16.12]","Aboriginal and foreign languages, literatures and linguistics [16]"
16,16.13,"Celtic languages, literatures and linguistics [16.13]","Aboriginal and foreign languages, literatures and linguistics [16]"
16,16.17,Second language learning [16.17],"Aboriginal and foreign languages, literatures and linguistics [16]"
16,16.99,"Aboriginal and foreign languages, literatures and linguistics, other [16.99]","Aboriginal and foreign languages, literatures and linguistics [16]"
19,19,Family and consumer sciences/human sciences [19],Family and consumer sciences/human sciences [19]
19,19.01,"Family and consumer sciences/human sciences, general [19.01]",Family and consumer sciences/human sciences [19]
19,19.02,Family and consumer sciences/human sciences business services [19.02],Family and consumer sciences/human sciences [19]
19,19.05,"Foods, nutrition and related services [19.05]",Family and consumer sciences/human sciences [19]
19,19.07,"Human development, family studies and related services [19.07]",Family and consumer sciences/human sciences [19]
19,19.09,Apparel and textiles [19.09],Family and consumer sciences/human sciences [19]
22,22,Legal professions and studies [22],Legal professions and studies [22]
22,22.00,Non-professional general legal studies (undergraduate) [22.00],Legal professions and studies [22]
22,22.01,"Law (LLB, JD, BCL) [22.01]",Legal professions and studies [22]
22,22.99,"Legal professions and studies, other [22.99]",Legal professions and studies [22]
23,23,English language and literature/letters [23],English language and literature/letters [23]
23,23.01,"English language and literature, general [23.01]",English language and literature/letters [23]
23,23.13,English rhetoric and composition/writing studies [23.13],English language and literature/letters [23]
23,23.14,English literature [23.14],English language and literature/letters [23]
23,23.99,"English language and literature/letters, other [23.99]",English language and literature/letters [23]
24,24,"Liberal arts and sciences, general studies and humanities [24]","Liberal arts and sciences, general studies and humanities [24]"
24,24.01,"Liberal arts and sciences, general studies and humanities [24.01]","Liberal arts and sciences, general studies and humanities [24]"
26,26,Biological and biomedical sciences [26],Biological and biomedical sciences [26]
26,26.01,"Biology, general [26.01]",Biological and biomedical sciences [26]
26,26.02,Biochemistry/biophysics and molecular biology [26.02],Biological and biomedical sciences [26]
26,26.03,Botany/plant biology [26.03],Biological and biomedical sciences [26]
26,26.04,Cell/cellular biology and anatomical sciences [26.04],Biological and biomedical sciences [26]
26,26.05,Microbiological sciences and immunology [26.05],Biological and biomedical sciences [26]
26,26.07,Zoology/animal biology [26.07],Biological and biomedical sciences [26]
26,26.08,Genetics [26.08],Biological and biomedical sciences [26]
26,26.09,"Physiology, pathology and related sciences [26.09]",Biological and biomedical sciences [26]
26,26.10,Pharmacology and toxicology [26.10],Biological and biomedical sciences [26]
26,26.11,"Biomathematics, bioinformatics, and computational biology [26.11]",Biological and biomedical sciences [26]
26,26.12,Biotechnology [26.12],Biological and biomedical sciences [26]
26,26.13,"Ecology, evolution, systematics and population biology [26.13]",Biological and biomedical sciences [26]
26,26.15,Neurobiology and neurosciences [26.15],Biological and biomedical sciences [26]
26,26.99,"Biological and biomedical sciences, other [26.99]",Biological and biomedical sciences [26]
27,27,Mathematics and statistics [27],Mathematics and statistics [27]
27,27.01,Mathematics [27.01],Mathematics and statistics [27]
27,27.03,Applied mathematics [27.03],Mathematics and statistics [27]
27,27.05,Statistics [27.05],Mathematics and statistics [27]
30,30,Multidisciplinary/interdisciplinary studies [30],Multidisciplinary/interdisciplinary studies [30]
30,30.01,Biological and physical sciences [30.01],Multidisciplinary/interdisciplinary studies [30]
30,30.05,Peace studies and conflict resolution [30.05],Multidisciplinary/interdisciplinary studies [30]
30,30.08,Mathematics and computer science [30.08],Multidisciplinary/interdisciplinary studies [30]
30,30.10,Biopsychology [30.10],Multidisciplinary/interdisciplinary studies [30]
30,30.11,Gerontology [30.11],Multidisciplinary/interdisciplinary studies [30]
30,30.13,Medieval and renaissance studies [30.13],Multidisciplinary/interdisciplinary studies [30]
30,30.14,Museology/museum studies [30.14],Multidisciplinary/interdisciplinary studies [30]
30,30.15,"Science, technology and society [30.15]",Multidisciplinary/interdisciplinary studies [30]
30,30.17,Behavioural sciences [30.17],Multidisciplinary/interdisciplinary studies [30]
30,30.18,Natural sciences [30.18],Multidisciplinary/interdisciplinary studies [30]
30,30.19,Nutrition sciences [30.19],Multidisciplinary/interdisciplinary studies [30]
30,30.20,International/global studies [30.20],Multidisciplinary/interdisciplinary studies [30]
30,30.22,Classical and ancient studies [30.22],Multidisciplinary/interdisciplinary studies [30]
30,30.23,Intercultural/multicultural and diversity studies [30.23],Multidisciplinary/interdisciplinary studies [30]
30,30.25,Cognitive science [30.25],Multidisciplinary/interdisciplinary studies [30]
30,30.26,Cultural studies/critical theory and analysis [30.26],Multidisciplinary/interdisciplinary studies [30]
30,30.29,Maritime studies [30.29],Multidisciplinary/interdisciplinary studies [30]
30,30.33,Sustainability studies [30.33],Multidisciplinary/interdisciplinary studies [30]
30,30.99,"Multidisciplinary/interdisciplinary studies, other [30.99]",Multidisciplinary/interdisciplinary studies [30]
31,31,"Parks, recreation, leisure and fitness studies [31]","Parks, recreation, leisure and fitness studies [31]"
31,31.01,"Parks, recreation and leisure studies [31.01]","Parks, recreation, leisure and fitness studies [31]"
